asset_uid,asset_code,asset_name,asset_type,category,configuration_details,quantity,rate,warranty_end_date,warranty_end_year,purchase_date,po_invoice_bill_no,po_invoice_bill_path,tagname_hostname,serial_number,vendor_name,assigned_to,asset_location,status,remarks,source_sheet,source_row,duplicate_warning,live_sync_status,live_hostname,live_machine_id,live_last_seen
HW-76232F9423,NXT-LAPY-01,Lenovo -82TS,LAPTOP,LAPTOP,i5 12 - 8 GB RAM - 500 GB SSD - windows 11 pro LIC,1,,,,,,,,6PRBCOS,,,Laptop/Headphone Master,,,Sheet2,2,,not_checked,,,
HW-14B58FC448,NXT-LAPY-02,Lenovo -82TS,LAPTOP,LAPTOP,i5 12 - 8 GB RAM - 500 GB SSD - windows 11 pro LIC,1,,,,,,,,5SDODKP,,,Laptop/Headphone Master,,,Sheet2,3,,not_checked,,,
HW-5700543C33,NXT-LAPY-03,Lenovo -82TS,LAPTOP,LAPTOP,i5 12 - 8 GB RAM - 500 GB SSD - windows 11 pro LIC,1,,,,,,,,9PRCGHK,,,Laptop/Headphone Master,,,Sheet2,4,,not_checked,,,
HW-ED1855B50C,NXT-LAPY-04,Lenovo -82TS,LAPTOP,LAPTOP,i5 12 - 8 GB RAM - 500 GB SSD - windows 11 pro LIC,1,,,,,,,,0PKFGHK,,,Laptop/Headphone Master,,,Sheet2,5,,not_checked,,,
HW-65ED99308F,NXT-LAPY-05,Lenovo -82TS,LAPTOP,LAPTOP,i5 12 - 8 GB RAM - 500 GB SSD - windows 11 pro LIC,1,,,,,,,,CK5FHJD,,,Laptop/Headphone Master,,,Sheet2,6,,not_checked,,,
HW-B7D9E2E075,NXT-LAPY-06,MSI Thin 15 B12UC,LAPTOP,LAPTOP,i7 12 Gen - 16 GB RAM -500 GB SSD - 4 GB NVDI Graphic card -Windows 11 Pro LIC,1,,,,,,,,BE0C0E3,,,Laptop/Headphone Master,,,Sheet2,7,,not_checked,,,
HW-A5B9FF35BA,NXT-MONT-01,Benq Moniter,Moniter,Moniter,32'' 4k moniter for laptop display,1,,,,,,,,na,,,Laptop/Headphone Master,,,Sheet2,8,,not_checked,,,
HW-40AC083105,NXT-LAPY-07,MSI Thin 15 B12UC,LAPTOP,LAPTOP,i7 12 Gen - 16 GB RAM -500 GB SSD - 4 GB NVDI Graphic card -Windows 11 Pro LIC,1,,,,,,,,BE0C0E3,,,Laptop/Headphone Master,,,Sheet2,9,,not_checked,,,
HW-A554DC5FD1,NXT-LAPY-08,MSI Cybong 15 A12UCK,LAPTOP,LAPTOP,i5 12 - 16 GB RAM - 500 GB SSD - 4 GB NVDI Graphic - windows 11 pro LiC,1,,,,,,,,C5B206,,,Laptop/Headphone Master,,,Sheet2,10,,not_checked,,,
HW-A6A5999143,NXT-LAPY-09,MSI Cybong 15 A12UCK,LAPTOP,LAPTOP,i5 12 - 16 GB RAM - 500 GB SSD - 4 GB NVDI Graphic - windows 11 pro LiC,1,,,,,,,,C5B289,,,Laptop/Headphone Master,,,Sheet2,11,,not_checked,,,
HW-F21AFF4E74,NXT-LAPY-10,Lenovo-legion 5,LAPTOP,LAPTOP,i7 10 Gen -16 GB RAM - 500 GB SSD - 4 GB NVDI Grafhic - Window 11 Pro LIC,1,,,,,,,,15mh05,,,Laptop/Headphone Master,,,Sheet2,12,,not_checked,,,
HW-D94C2523CA,NXT-LAPY-11,M4 MACK Book,LAPTOP,LAPTOP,M4 MACK Book,1,,,,,,,,NA,,,Laptop/Headphone Master,,,Sheet2,13,,not_checked,,,
HW-3000B384F2,NXT-LAPY-12,MSI-18Ai studio A1HG,LAPTOP,LAPTOP,ultr i9 -64GBRAM- 2 TB SSD - NVDI RTX 4080 - windows 10 Pro LOC,1,,,,,,,,BE0C1D4,,,Laptop/Headphone Master,,,Sheet2,14,,not_checked,,,
HW-D2FCBD46FF,NXT-LAPY-13,HP,LAPTOP,LAPTOP,Rizen 5 12 - 8 GB RAM - 500 GB SSD - windows 11 pro LIC,1,,,,,,,,CEDU0F5,,,Laptop/Headphone Master,,,Sheet2,15,,not_checked,,,
HW-0790A936F6,NXT-LAPY-14,MSI Thin 15 B12UC,LAPTOP,LAPTOP,i7 12 Gen - 16 GB RAM -500 GB SSD - 4 GB NVDI Graphic card -Windows 11 Pro LIC,1,,,,,,,,BE0C0E5,,,Laptop/Headphone Master,,,Sheet2,16,,not_checked,,,
HW-EA84E720FC,NXT-HED-01,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,1,SONY C1,,Laptop/Headphone Master,,,Sheet2,17,duplicate merged from Headphone Details row 5,not_checked,,,
HW-12372A1CD9,NXT-HED-02,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,2,RAZER Z1,,Laptop/Headphone Master,,,Sheet2,18,duplicate merged from Headphone Details row 6,not_checked,,,
HW-96381482E8,NXT-HED-03,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,3,,,Laptop/Headphone Master,,,Sheet2,19,duplicate merged from Headphone Details row 7,not_checked,,,
HW-784A613CED,NXT-HED-04,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,4,,,Laptop/Headphone Master,,,Sheet2,20,duplicate merged from Headphone Details row 8,not_checked,,,
HW-0A7B0832F2,NXT-HED-05,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,5,,,Laptop/Headphone Master,,,Sheet2,21,duplicate merged from Headphone Details row 9,not_checked,,,
HW-A72E1571E7,NXT-HED-06,SONY C1,Head Phone,Head Phone,Head phone with mick,1,,,,,,,,6,,,Laptop/Headphone Master,,,Sheet2,22,duplicate merged from Headphone Details row 10,not_checked,,,
